Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,1.212415099143982,1.2149192094802856,1.2102874517440796,1.212224006652832,1.212224006652832,0
2021-06-16,1.2125474214553833,1.2134994268417358,1.2110350131988525,1.2127091884613037,1.2127091884613037,0
2021-06-17,1.199184536933899,1.2007685899734497,1.19070303440094,1.1995586156845093,1.1995586156845093,0
2021-06-18,1.1913270950317383,1.1927480697631836,1.1851149797439575,1.1913414001464844,1.1913414001464844,0
2021-06-21,1.186901330947876,1.1920514106750488,1.1848762035369873,1.1873664855957031,1.1873664855957031,0
2021-06-22,1.1911568641662598,1.1917530298233032,1.1882412433624268,1.1912561655044556,1.1912561655044556,0
2021-06-23,1.1937447786331177,1.1969999074935913,1.1915826797485352,1.1936734914779663,1.1936734914779663,0
2021-06-24,1.1931607723236084,1.1956716775894165,1.191994547843933,1.1933174133300781,1.1933174133300781,0
2021-06-25,1.1927907466888428,1.1974470615386963,1.1927907466888428,1.1930327415466309,1.1930327415466309,0
2021-06-28,1.1942152976989746,1.1946003437042236,1.1904619932174683,1.1942152976989746,1.1942152976989746,0
2021-06-29,1.1930327415466309,1.1930327415466309,1.1880435943603516,1.1928904056549072,1.1928904056549072,0
2021-06-30,1.18999445438385,1.1910432577133179,1.1845815181732178,1.1901928186416626,1.1901928186416626,0
2021-07-01,1.1855363845825195,1.188399314880371,1.1838102340698242,1.1856770515441895,1.1856770515441895,0
2021-07-02,1.184707760810852,1.1860989332199097,1.1819353103637695,1.1846235990524292,1.1846235990524292,0
2021-07-05,1.1855926513671875,1.1882002353668213,1.1852006912231445,1.1856207847595215,1.1856207847595215,0
2021-07-06,1.1861495971679688,1.1896264553070068,1.1814996004104614,1.186380386352539,1.186380386352539,0
2021-07-07,1.1820330619812012,1.1841325759887695,1.1782448291778564,1.1824523210525513,1.1824523210525513,0
2021-07-08,1.179356575012207,1.186633825302124,1.1784253120422363,1.17933988571167,1.17933988571167,0
2021-07-09,1.1846938133239746,1.1874650716781616,1.1825222969055176,1.184800386428833,1.184800386428833,0
2021-07-12,1.1873664855957031,1.1882128715515137,1.183670163154602,1.187295913696289,1.187295913696289,0
2021-07-13,1.1864930391311646,1.1877895593643188,1.1793426275253296,1.186521053314209,1.186521053314209,0
2021-07-14,1.1774401664733887,1.1828006505966187,1.1772600412368774,1.1775373220443726,1.1775373220443726,0
2021-07-15,1.1833338737487793,1.1851149797439575,1.1805957555770874,1.1833338737487793,1.1833338737487793,0
2021-07-16,1.1813069581985474,1.182300090789795,1.1793996095657349,1.1811814308166504,1.1811814308166504,0
2021-07-19,1.1811535358428955,1.1823265552520752,1.176429033279419,1.1814005374908447,1.1814005374908447,0
2021-07-20,1.1792453527450562,1.1804006099700928,1.175709843635559,1.1793843507766724,1.1793843507766724,0
2021-07-21,1.178550362586975,1.1802752017974854,1.175364375114441,1.1784114837646484,1.1784114837646484,0
2021-07-22,1.1795234680175781,1.1829839944839478,1.1766643524169922,1.179273009300232,1.179273009300232,0
2021-07-23,1.1773570775985718,1.178550362586975,1.1755993366241455,1.1772738695144653,1.1772738695144653,0
2021-07-26,1.1773016452789307,1.1817537546157837,1.1764568090438843,1.1773432493209839,1.1773432493209839,0
2021-07-27,1.1806375980377197,1.183712124824524,1.1771769523620605,1.1807769536972046,1.1807769536972046,0
